utc_time,FR_MW,GE_MW,BE_MW,offshore_wind_cf,onshore_wind_cf,solar_cf,NL_MW
2024-01-01 00:00:00+00:00,53113.0,40170.25,7335.32,0.742,0.254,0.0,12600.0
2024-01-01 01:00:00+00:00,51857.5,38818.25,7142.98,0.516,0.183,0.0,12601.707844331002
2024-01-01 02:00:00+00:00,49391.5,37847.75,6878.37,0.411,0.131,0.0,12603.41568644808
2024-01-01 03:00:00+00:00,47850.0,37123.25,6751.79,0.154,0.105,0.0,12605.123524137316
2024-01-01 04:00:00+00:00,47750.0,36753.75,6703.01,0.055,0.087,0.0,12606.831355184795
2024-01-01 05:00:00+00:00,48313.0,37051.25,6805.42,0.012,0.064,0.0,12608.539177376611
2024-01-01 06:00:00+00:00,48501.0,36725.5,6871.1,0.0,0.05,0.0,12610.246988498871
2024-01-01 07:00:00+00:00,48665.5,37321.0,7064.42,0.0,0.05,0.0,12611.954786337696
2024-01-01 08:00:00+00:00,49824.5,37984.25,7206.34,0.007,0.052,0.039,12613.66256867922
2024-01-01 09:00:00+00:00,51427.0,39952.0,7564.02,0.054,0.055,0.17,12615.370333309604
2024-01-01 10:00:00+00:00,52546.0,42309.25,7917.12,0.137,0.07,0.236,12617.078078015027
2024-01-01 11:00:00+00:00,52929.0,44829.25,8167.6,0.222,0.091,0.248,12618.785800581696
2024-01-01 12:00:00+00:00,50950.5,45824.0,8248.05,0.431,0.128,0.206,12620.493498795846
2024-01-01 13:00:00+00:00,50237.0,45251.75,8140.26,0.514,0.15,0.126,12622.201170443743
2024-01-01 14:00:00+00:00,49779.5,44904.5,8061.56,0.528,0.159,0.064,12623.908813311687
2024-01-01 15:00:00+00:00,49655.0,44952.25,7996.33,0.617,0.189,0.035,12625.616425186021
2024-01-01 16:00:00+00:00,53320.0,46881.25,8456.61,0.686,0.223,0.0,12627.324003853118
2024-01-01 17:00:00+00:00,56401.0,50120.5,8741.94,0.714,0.236,0.0,12629.031547099403
2024-01-01 18:00:00+00:00,56975.0,50199.5,8635.37,0.817,0.258,0.0,12630.73905271134
2024-01-01 19:00:00+00:00,55380.0,49118.25,8135.64,0.802,0.325,0.0,12632.446518475452
2024-01-01 20:00:00+00:00,53896.0,47071.75,7946.29,0.815,0.442,0.0,12634.1539421783
2024-01-01 21:00:00+00:00,54804.0,45149.0,8003.15,0.885,0.476,0.0,12635.86132160651
2024-01-01 22:00:00+00:00,54310.5,43664.25,7868.74,0.907,0.496,0.0,12637.56865454676
2024-01-01 23:00:00+00:00,51891.0,41057.25,7647.49,0.913,0.498,0.0,12639.275938785793
2024-01-02 00:00:00+00:00,50481.5,38390.0,7246.12,0.918,0.565,0.0,12640.98317211041
2024-01-02 01:00:00+00:00,49440.5,37078.0,6960.59,0.91,0.521,0.0,12642.69035230748
2024-01-02 02:00:00+00:00,47355.5,37041.75,6812.08,0.882,0.474,0.0,12644.397477163942
2024-01-02 03:00:00+00:00,46832.5,37358.25,6766.01,0.834,0.437,0.0,12646.104544466807
2024-01-02 04:00:00+00:00,48859.0,39412.25,7026.9,0.787,0.411,0.0,12647.811552003157
2024-01-02 05:00:00+00:00,52482.5,42454.0,7709.66,0.737,0.381,0.0,12649.518497560157
2024-01-02 06:00:00+00:00,55778.0,47726.0,8243.94,0.843,0.428,0.0,12651.225378925046
2024-01-02 07:00:00+00:00,58040.5,52564.75,8964.4,0.837,0.412,0.0,12652.932193885152
2024-01-02 08:00:00+00:00,59883.5,56047.5,9434.9,0.83,0.34,0.005,12654.638940227886
2024-01-02 09:00:00+00:00,61203.5,57931.5,9835.9,0.781,0.339,0.022,12656.345615740747
2024-01-02 10:00:00+00:00,62667.5,59509.5,9888.22,0.762,0.351,0.064,12658.052218211331
2024-01-02 11:00:00+00:00,62956.0,60929.5,10128.29,0.739,0.373,0.152,12659.758745427322
2024-01-02 12:00:00+00:00,61554.0,61269.75,10235.03,0.78,0.345,0.16,12661.465195176504
2024-01-02 13:00:00+00:00,61268.0,60607.0,10216.95,0.855,0.36,0.052,12663.171565246765
2024-01-02 14:00:00+00:00,60229.5,59705.0,10173.52,0.878,0.391,0.033,12664.877853426091
2024-01-02 15:00:00+00:00,59210.0,60067.0,9984.93,0.903,0.427,0.04,12666.584057502578
2024-01-02 16:00:00+00:00,61023.0,61427.0,10431.1,0.913,0.449,0.0,12668.290175264428
2024-01-02 17:00:00+00:00,63198.5,63376.75,10501.11,0.916,0.495,0.0,12669.996204499957
2024-01-02 18:00:00+00:00,62837.0,63072.0,10396.02,0.919,0.522,0.0,12671.702142997596
2024-01-02 19:00:00+00:00,59436.0,61214.75,9823.82,0.919,0.56,0.0,12673.407988545892
2024-01-02 20:00:00+00:00,56329.5,58093.5,9036.39,0.913,0.578,0.0,12675.113738933514
2024-01-02 21:00:00+00:00,56612.0,54777.75,8908.2,0.909,0.589,0.0,12676.819391949253
2024-01-02 22:00:00+00:00,55947.5,52006.25,8779.75,0.9,0.589,0.0,12678.524945382027
2024-01-02 23:00:00+00:00,53124.0,49067.5,8467.57,0.881,0.593,0.0,12680.230397020883
2024-01-03 00:00:00+00:00,50990.5,46137.5,8031.15,0.891,0.604,0.0,12681.935744655
2024-01-03 01:00:00+00:00,49964.5,44335.25,7615.05,0.917,0.579,0.0,12683.640986073691
2024-01-03 02:00:00+00:00,47983.5,43294.75,7579.62,0.919,0.579,0.0,12685.34611906641
2024-01-03 03:00:00+00:00,47527.5,43656.25,7478.88,0.919,0.537,0.0,12687.051141422744
2024-01-03 04:00:00+00:00,50069.5,45081.75,7829.2,0.914,0.478,0.0,12688.756050932434
2024-01-03 05:00:00+00:00,54197.0,47957.5,8424.09,0.884,0.424,0.0,12690.460845385358
2024-01-03 06:00:00+00:00,57981.5,53736.25,8930.96,0.834,0.371,0.0,12692.165522571548
2024-01-03 07:00:00+00:00,60233.0,58238.5,9862.89,0.727,0.348,0.0,12693.870080281187
