utc_time,Resolution code,Total Load,Most recent forecast,Most recent P10,Most recent P90,Day-ahead 6PM forecast,Day-ahead 6PM P10,Day-ahead 6PM P90,Week-ahead forecast
2023-01-01 00:00:00+00:00,PT15M,7223.97,7381.91,7032.7,7731.12,7790.96,7480.15,8101.77,7771.15
2023-01-01 01:00:00+00:00,PT15M,6895.73,7026.03,6679.42,7372.64,7402.86,7094.33,7711.39,7508.81
2023-01-01 02:00:00+00:00,PT15M,6670.86,6842.45,6496.24,7188.67,7143.56,6835.41,7451.7,7340.07
2023-01-01 03:00:00+00:00,PT15M,6432.72,6653.89,6311.93,6995.84,6929.92,6625.5,7234.33,7160.27
2023-01-01 04:00:00+00:00,PT15M,6491.17,6710.18,6367.24,7053.12,6919.05,6613.82,7224.27,7160.23
2023-01-01 05:00:00+00:00,PT15M,6596.1,6804.25,6465.01,7143.48,6914.22,6612.23,7216.21,7146.84
2023-01-01 06:00:00+00:00,PT15M,6644.6,6752.05,6415.15,7088.95,6817.1,6517.12,7117.08,7049.94
2023-01-01 07:00:00+00:00,PT15M,6813.49,7209.25,6871.8,7546.7,6902.92,6602.53,7203.31,7087.39
2023-01-01 08:00:00+00:00,PT15M,6946.11,7349.42,7012.73,7686.11,7034.17,6734.49,7333.85,7145.27
2023-01-01 09:00:00+00:00,PT15M,7238.44,7441.39,7006.38,7876.4,7278.09,6803.96,7752.22,7465.02
2023-01-01 10:00:00+00:00,PT15M,7677.41,7772.99,7335.87,8210.11,7548.85,7072.46,8025.23,7652.97
2023-01-01 11:00:00+00:00,PT15M,7989.46,8428.97,7987.93,8870.01,7792.92,7312.68,8273.17,7875.09
2023-01-01 12:00:00+00:00,PT15M,7673.74,8243.38,7801.06,8685.7,7787.21,7305.52,8268.9,7990.01
2023-01-01 13:00:00+00:00,PT15M,7769.15,7853.21,7414.38,8292.05,7635.82,7157.87,8113.77,7770.38
2023-01-01 14:00:00+00:00,PT15M,7514.03,7930.46,7491.71,8369.21,7677.22,7199.42,8155.03,7730.22
2023-01-01 15:00:00+00:00,PT15M,7562.65,7876.02,7442.09,8309.95,7699.34,7226.74,8171.93,7709.85
2023-01-01 16:00:00+00:00,PT15M,8097.66,8237.14,7807.16,8667.12,8066.66,7598.34,8534.98,7939.53
2023-01-01 17:00:00+00:00,PT15M,8326.24,8403.9,7963.15,8844.65,8445.58,7965.62,8925.55,8285.01
2023-01-01 18:00:00+00:00,PT15M,8284.24,8907.28,8462.77,9351.79,8371.05,7886.96,8855.14,8259.65
2023-01-01 19:00:00+00:00,PT15M,8054.67,8168.18,7724.31,8612.05,8128.46,7645.06,8611.86,8078.88
2023-01-01 20:00:00+00:00,PT15M,7907.03,8092.32,7648.82,8535.82,7935.18,7452.15,8418.21,7941.09
2023-01-01 21:00:00+00:00,PT15M,7720.54,8182.85,7744.12,8621.58,8059.2,7581.51,8536.88,7963.85
2023-01-01 22:00:00+00:00,PT15M,7632.55,8020.58,7573.28,8467.89,8272.06,7784.95,8759.17,8139.85
2023-01-01 23:00:00+00:00,PT15M,7446.13,7561.85,7113.96,8009.75,7813.78,7366.3,8261.26,7835.24
2023-01-02 00:00:00+00:00,PT15M,6886.04,7291.58,7103.33,7479.82,7777.27,7101.93,8452.61,7689.55
2023-01-02 01:00:00+00:00,PT15M,6288.83,6989.03,6802.11,7175.95,7392.72,6722.24,8063.21,7368.41
2023-01-02 02:00:00+00:00,PT15M,6205.81,6627.22,6443.67,6810.76,7153.41,6495.03,7811.79,7137.63
2023-01-02 03:00:00+00:00,PT15M,6225.28,6653.19,6469.38,6837.0,7270.24,6610.91,7929.57,7190.89
2023-01-02 04:00:00+00:00,PT15M,6582.06,6797.78,6616.93,6978.62,7488.06,6839.36,8136.76,7430.12
2023-01-02 05:00:00+00:00,PT15M,7054.73,7208.52,7029.96,7387.07,8109.42,7468.94,8749.89,8092.41
2023-01-02 06:00:00+00:00,PT15M,7649.03,8049.55,7869.59,8229.5,8856.59,8211.08,9502.1,8826.47
2023-01-02 07:00:00+00:00,PT15M,8370.41,8316.02,8133.52,8498.52,9596.46,8941.84,10251.08,9608.02
2023-01-02 08:00:00+00:00,PT15M,8717.0,9554.71,9370.43,9738.99,9664.23,9003.22,10325.23,9650.15
2023-01-02 09:00:00+00:00,PT15M,9250.14,9724.71,9245.6,10203.82,9645.77,8959.65,10331.89,9667.83
