utc_time,total_load,offshore_wind_cf,onshore_wind_cf,solar_cf
2023-01-01 00:00:00+00:00,7223.97,0.81,0.095,0.0
2023-01-01 01:00:00+00:00,6895.73,0.857,0.126,0.0
2023-01-01 02:00:00+00:00,6670.86,0.852,0.164,0.0
2023-01-01 03:00:00+00:00,6432.72,0.839,0.173,0.0
2023-01-01 04:00:00+00:00,6491.17,0.824,0.173,0.0
2023-01-01 05:00:00+00:00,6596.1,0.827,0.174,0.0
2023-01-01 06:00:00+00:00,6644.6,0.893,0.246,0.0
2023-01-01 07:00:00+00:00,6813.49,0.908,0.316,0.0
2023-01-01 08:00:00+00:00,6946.11,0.911,0.359,0.024
2023-01-01 09:00:00+00:00,7238.44,0.905,0.376,0.132
2023-01-01 10:00:00+00:00,7677.41,0.895,0.397,0.256
2023-01-01 11:00:00+00:00,7989.46,0.885,0.408,0.388
2023-01-01 12:00:00+00:00,7673.74,0.896,0.439,0.404
2023-01-01 13:00:00+00:00,7769.15,0.907,0.454,0.333
2023-01-01 14:00:00+00:00,7514.03,0.916,0.471,0.192
2023-01-01 15:00:00+00:00,7562.65,0.917,0.485,0.104
2023-01-01 16:00:00+00:00,8097.66,0.918,0.524,0.0
2023-01-01 17:00:00+00:00,8326.24,0.919,0.554,0.0
2023-01-01 18:00:00+00:00,8284.24,0.919,0.595,0.0
2023-01-01 19:00:00+00:00,8054.67,0.919,0.668,0.0
2023-01-01 20:00:00+00:00,7907.03,0.918,0.714,0.0
2023-01-01 21:00:00+00:00,7720.54,0.917,0.728,0.0
2023-01-01 22:00:00+00:00,7632.55,0.915,0.733,0.0
2023-01-01 23:00:00+00:00,7446.13,0.915,0.739,0.0
2023-01-02 00:00:00+00:00,6886.04,0.919,0.731,0.0
2023-01-02 01:00:00+00:00,6288.83,0.916,0.74,0.0
2023-01-02 02:00:00+00:00,6205.81,0.915,0.742,0.0
2023-01-02 03:00:00+00:00,6225.28,0.919,0.751,0.0
2023-01-02 04:00:00+00:00,6582.06,0.919,0.743,0.0
2023-01-02 05:00:00+00:00,7054.73,0.914,0.736,0.0
2023-01-02 06:00:00+00:00,7649.03,0.832,0.731,0.0
2023-01-02 07:00:00+00:00,8370.41,0.845,0.67,0.0
2023-01-02 08:00:00+00:00,8717.0,0.854,0.538,0.003
2023-01-02 09:00:00+00:00,9250.14,0.873,0.401,0.014
2023-01-02 10:00:00+00:00,9533.8,0.881,0.323,0.157
2023-01-02 11:00:00+00:00,9632.11,0.897,0.298,0.263
2023-01-02 12:00:00+00:00,9455.54,0.828,0.262,0.328
2023-01-02 13:00:00+00:00,9410.29,0.908,0.235,0.348
2023-01-02 14:00:00+00:00,9277.49,0.911,0.246,0.265
2023-01-02 15:00:00+00:00,9284.95,0.906,0.248,0.138
2023-01-02 16:00:00+00:00,9752.45,0.894,0.243,0.0
2023-01-02 17:00:00+00:00,10132.64,0.852,0.215,0.0
2023-01-02 18:00:00+00:00,9835.0,0.705,0.232,0.0
2023-01-02 19:00:00+00:00,9383.62,0.744,0.251,0.0
2023-01-02 20:00:00+00:00,8920.81,0.714,0.229,0.0
2023-01-02 21:00:00+00:00,8667.05,0.561,0.18,0.0
2023-01-02 22:00:00+00:00,8776.67,0.462,0.144,0.0
2023-01-02 23:00:00+00:00,8274.66,0.398,0.123,0.0
2023-01-03 00:00:00+00:00,7911.32,0.479,0.161,0.0
2023-01-03 01:00:00+00:00,7535.29,0.55,0.203,0.0
2023-01-03 02:00:00+00:00,7383.85,0.57,0.247,0.0
2023-01-03 03:00:00+00:00,7343.98,0.618,0.277,0.0
2023-01-03 04:00:00+00:00,7558.71,0.674,0.326,0.0
2023-01-03 05:00:00+00:00,8139.64,0.608,0.375,0.0
2023-01-03 06:00:00+00:00,8880.98,0.694,0.333,0.0
2023-01-03 07:00:00+00:00,9701.74,0.856,0.401,0.0
2023-01-03 08:00:00+00:00,10048.31,0.852,0.34,0.004
2023-01-03 09:00:00+00:00,10339.78,0.81,0.291,0.014
2023-01-03 10:00:00+00:00,10418.32,0.722,0.265,0.019
2023-01-03 11:00:00+00:00,10478.1,0.47,0.29,0.022
2023-01-03 12:00:00+00:00,10177.18,0.377,0.258,0.018
2023-01-03 13:00:00+00:00,10132.82,0.144,0.245,0.015
2023-01-03 14:00:00+00:00,10044.14,0.07,0.18,0.004
2023-01-03 15:00:00+00:00,10094.02,0.033,0.145,0.001
2023-01-03 16:00:00+00:00,10637.54,0.039,0.228,0.0
2023-01-03 17:00:00+00:00,10958.44,0.076,0.256,0.0
2023-01-03 18:00:00+00:00,10623.29,0.409,0.249,0.0
2023-01-03 19:00:00+00:00,10126.72,0.567,0.115,0.0
2023-01-03 20:00:00+00:00,9501.16,0.617,0.06,0.0
2023-01-03 21:00:00+00:00,9331.84,0.557,0.07,0.0
2023-01-03 22:00:00+00:00,9289.78,0.487,0.082,0.0
2023-01-03 23:00:00+00:00,8706.94,0.444,0.101,0.0
2023-01-04 00:00:00+00:00,8146.65,0.435,0.104,0.0
2023-01-04 01:00:00+00:00,7850.87,0.513,0.086,0.0
2023-01-04 02:00:00+00:00,7642.56,0.505,0.083,0.0
2023-01-04 03:00:00+00:00,7706.13,0.394,0.082,0.0
2023-01-04 04:00:00+00:00,7958.79,0.297,0.086,0.0
2023-01-04 05:00:00+00:00,8478.67,0.208,0.087,0.0
2023-01-04 06:00:00+00:00,9304.37,0.168,0.134,0.0
2023-01-04 07:00:00+00:00,9879.63,0.144,0.113,0.0
2023-01-04 08:00:00+00:00,10171.56,0.092,0.099,0.039
2023-01-04 09:00:00+00:00,10472.73,0.075,0.111,0.186
2023-01-04 10:00:00+00:00,10672.04,0.068,0.122,0.306
2023-01-04 11:00:00+00:00,10773.44,0.067,0.138,0.355
2023-01-04 12:00:00+00:00,10655.44,0.128,0.147,0.28
2023-01-04 13:00:00+00:00,10618.39,0.095,0.112,0.195
2023-01-04 14:00:00+00:00,10502.76,0.053,0.072,0.095
2023-01-04 15:00:00+00:00,10547.23,0.036,0.06,0.03
2023-01-04 16:00:00+00:00,10785.73,0.042,0.062,0.0
2023-01-04 17:00:00+00:00,10987.56,0.095,0.078,0.0
2023-01-04 18:00:00+00:00,10631.74,0.164,0.087,0.0
2023-01-04 19:00:00+00:00,10162.75,0.265,0.11,0.0
2023-01-04 20:00:00+00:00,9478.75,0.32,0.124,0.0
2023-01-04 21:00:00+00:00,9311.85,0.258,0.129,0.0
2023-01-04 22:00:00+00:00,9339.73,0.204,0.135,0.0
2023-01-04 23:00:00+00:00,8697.01,0.173,0.15,0.0
2023-01-05 00:00:00+00:00,8301.37,0.125,0.137,0.0
2023-01-05 01:00:00+00:00,7811.0,0.23,0.175,0.0
2023-01-05 02:00:00+00:00,7639.8,0.302,0.181,0.0
2023-01-05 03:00:00+00:00,7594.84,0.313,0.191,0.0
2023-01-05 04:00:00+00:00,7999.61,0.313,0.197,0.0
2023-01-05 05:00:00+00:00,8616.42,0.309,0.202,0.0
2023-01-05 06:00:00+00:00,9384.1,0.455,0.182,0.0
2023-01-05 07:00:00+00:00,10107.5,0.525,0.223,0.0
2023-01-05 08:00:00+00:00,10367.84,0.565,0.231,0.034
2023-01-05 09:00:00+00:00,10463.02,0.518,0.224,0.12
2023-01-05 10:00:00+00:00,10413.21,0.497,0.205,0.195
2023-01-05 11:00:00+00:00,10682.16,0.475,0.176,0.259
2023-01-05 12:00:00+00:00,10553.97,0.457,0.141,0.249
2023-01-05 13:00:00+00:00,10426.35,0.523,0.153,0.192
2023-01-05 14:00:00+00:00,10567.41,0.551,0.154,0.115
2023-01-05 15:00:00+00:00,10414.32,0.519,0.13,0.075
2023-01-05 16:00:00+00:00,10764.34,0.484,0.118,0.0
2023-01-05 17:00:00+00:00,11026.12,0.437,0.103,0.0
2023-01-05 18:00:00+00:00,10687.61,0.394,0.105,0.0
2023-01-05 19:00:00+00:00,10149.7,0.463,0.133,0.0
2023-01-05 20:00:00+00:00,9529.54,0.453,0.121,0.0
2023-01-05 21:00:00+00:00,9364.64,0.38,0.088,0.0
2023-01-05 22:00:00+00:00,9312.31,0.329,0.066,0.0
2023-01-05 23:00:00+00:00,8711.9,0.306,0.053,0.0
2023-01-06 00:00:00+00:00,8027.17,0.358,0.057,0.0
2023-01-06 01:00:00+00:00,7825.35,0.382,0.07,0.0
2023-01-06 02:00:00+00:00,7624.41,0.359,0.068,0.0
2023-01-06 03:00:00+00:00,7636.08,0.327,0.064,0.0
2023-01-06 04:00:00+00:00,7784.97,0.294,0.068,0.0
2023-01-06 05:00:00+00:00,8542.58,0.271,0.074,0.0
2023-01-06 06:00:00+00:00,9160.44,0.264,0.093,0.0
2023-01-06 07:00:00+00:00,9760.97,0.252,0.116,0.0
2023-01-06 08:00:00+00:00,10330.03,0.293,0.19,0.043
2023-01-06 09:00:00+00:00,10564.42,0.338,0.225,0.206
2023-01-06 10:00:00+00:00,10634.02,0.401,0.255,0.38
2023-01-06 11:00:00+00:00,10829.84,0.478,0.251,0.485
2023-01-06 12:00:00+00:00,10645.55,0.597,0.285,0.474
2023-01-06 13:00:00+00:00,10559.5,0.677,0.262,0.391
2023-01-06 14:00:00+00:00,10360.18,0.716,0.249,0.232
2023-01-06 15:00:00+00:00,10282.88,0.695,0.257,0.116
2023-01-06 16:00:00+00:00,10731.92,0.536,0.283,0.0
2023-01-06 17:00:00+00:00,10600.05,0.329,0.307,0.0
2023-01-06 18:00:00+00:00,10427.25,0.727,0.325,0.0
2023-01-06 19:00:00+00:00,9916.76,0.854,0.371,0.0
2023-01-06 20:00:00+00:00,9498.87,0.759,0.382,0.0
2023-01-06 21:00:00+00:00,9157.37,0.657,0.286,0.0
2023-01-06 22:00:00+00:00,9121.67,0.543,0.219,0.0
2023-01-06 23:00:00+00:00,8583.21,0.386,0.167,0.0
2023-01-07 00:00:00+00:00,8223.62,0.13,0.154,0.0
2023-01-07 01:00:00+00:00,7868.02,0.072,0.115,0.0
2023-01-07 02:00:00+00:00,7758.05,0.096,0.089,0.0
2023-01-07 03:00:00+00:00,7750.62,0.186,0.084,0.0
2023-01-07 04:00:00+00:00,7708.36,0.322,0.083,0.0
2023-01-07 05:00:00+00:00,7887.94,0.441,0.092,0.0
2023-01-07 06:00:00+00:00,8246.37,0.474,0.113,0.0
2023-01-07 07:00:00+00:00,8608.65,0.615,0.142,0.0
2023-01-07 08:00:00+00:00,9008.91,0.651,0.164,0.087
2023-01-07 09:00:00+00:00,9410.77,0.688,0.192,0.319
2023-01-07 10:00:00+00:00,9322.29,0.717,0.216,0.466
2023-01-07 11:00:00+00:00,9333.54,0.753,0.212,0.528
2023-01-07 12:00:00+00:00,9126.78,0.872,0.258,0.504
2023-01-07 13:00:00+00:00,8953.56,0.898,0.285,0.394
2023-01-07 14:00:00+00:00,9067.69,0.908,0.289,0.237
2023-01-07 15:00:00+00:00,9389.22,0.906,0.297,0.122
2023-01-07 16:00:00+00:00,9915.48,0.908,0.35,0.0
2023-01-07 17:00:00+00:00,10105.01,0.911,0.386,0.0
2023-01-07 18:00:00+00:00,9746.22,0.916,0.405,0.0
2023-01-07 19:00:00+00:00,9266.3,0.919,0.457,0.0
2023-01-07 20:00:00+00:00,8884.26,0.919,0.517,0.0
2023-01-07 21:00:00+00:00,8875.5,0.919,0.53,0.0
2023-01-07 22:00:00+00:00,8676.7,0.919,0.56,0.0
2023-01-07 23:00:00+00:00,8315.46,0.919,0.602,0.0
2023-01-08 00:00:00+00:00,7840.49,0.919,0.628,0.0
2023-01-08 01:00:00+00:00,7838.55,0.919,0.686,0.0
2023-01-08 02:00:00+00:00,7521.39,0.919,0.705,0.0
2023-01-08 03:00:00+00:00,7455.58,0.917,0.69,0.0
2023-01-08 04:00:00+00:00,7705.29,0.908,0.676,0.0
2023-01-08 05:00:00+00:00,7651.53,0.892,0.661,0.0
2023-01-08 06:00:00+00:00,8046.6,0.907,0.541,0.0
2023-01-08 07:00:00+00:00,8278.89,0.919,0.585,0.0
2023-01-08 08:00:00+00:00,8739.29,0.919,0.671,0.002
2023-01-08 09:00:00+00:00,8940.34,0.83,0.705,0.006
2023-01-08 10:00:00+00:00,9055.27,0.482,0.721,0.008
2023-01-08 11:00:00+00:00,9361.15,0.38,0.711,0.009
2023-01-08 12:00:00+00:00,9081.92,0.577,0.71,0.008
2023-01-08 13:00:00+00:00,8717.69,0.477,0.692,0.005
2023-01-08 14:00:00+00:00,8669.97,0.599,0.646,0.003
2023-01-08 15:00:00+00:00,8945.33,0.712,0.484,0.003
2023-01-08 16:00:00+00:00,9324.05,0.772,0.394,0.0
2023-01-08 17:00:00+00:00,9912.5,0.805,0.344,0.0
2023-01-08 18:00:00+00:00,9732.03,0.846,0.438,0.0
2023-01-08 19:00:00+00:00,9412.61,0.846,0.461,0.0
2023-01-08 20:00:00+00:00,9038.15,0.75,0.385,0.0
2023-01-08 21:00:00+00:00,8803.01,0.737,0.361,0.0
2023-01-08 22:00:00+00:00,8940.96,0.768,0.399,0.0
2023-01-08 23:00:00+00:00,8472.05,0.808,0.491,0.0
2023-01-09 00:00:00+00:00,8022.06,0.889,0.63,0.0
2023-01-09 01:00:00+00:00,7918.3,0.919,0.706,0.0
2023-01-09 02:00:00+00:00,7768.31,0.918,0.735,0.0
2023-01-09 03:00:00+00:00,7733.77,0.917,0.769,0.0
2023-01-09 04:00:00+00:00,7935.09,0.918,0.782,0.0
2023-01-09 05:00:00+00:00,9014.38,0.919,0.784,0.0
2023-01-09 06:00:00+00:00,9961.96,0.919,0.782,0.0
2023-01-09 07:00:00+00:00,10849.52,0.919,0.774,0.0
2023-01-09 08:00:00+00:00,11057.8,0.917,0.774,0.003
2023-01-09 09:00:00+00:00,11143.54,0.912,0.755,0.008
2023-01-09 10:00:00+00:00,11370.1,0.904,0.716,0.012
2023-01-09 11:00:00+00:00,11257.52,0.894,0.683,0.025
2023-01-09 12:00:00+00:00,11051.52,0.902,0.664,0.062
2023-01-09 13:00:00+00:00,10741.99,0.904,0.702,0.023
2023-01-09 14:00:00+00:00,10920.53,0.906,0.735,0.007
2023-01-09 15:00:00+00:00,10925.98,0.918,0.753,0.002
2023-01-09 16:00:00+00:00,11327.83,0.919,0.773,0.0
2023-01-09 17:00:00+00:00,11826.55,0.918,0.786,0.0
2023-01-09 18:00:00+00:00,11587.52,0.904,0.787,0.0
2023-01-09 19:00:00+00:00,10898.22,0.912,0.769,0.0
2023-01-09 20:00:00+00:00,10248.03,0.918,0.767,0.0
2023-01-09 21:00:00+00:00,9900.89,0.919,0.775,0.0
